id,type,name,status,description,startTime,duration,owner
85,EpicTask,Эпик 2,IN_PROGRESS,,,,
86,Task,Простая задача 1,NEW,Описание простой задачи1,,,
87,Task,Простая задача 2,NEW,Описание простой задачи2,,,
88,Task,Простая задача 3,NEW,Описание простой задачи3,,,
89,Task,Простая задача 4,NEW,Описание простой задачи4,,,
90,Task,Простая задача 5,NEW,Описание простой задачи5,,,
91,Task,Простая задача 6,NEW,Описание простой задачи6,,,
92,Task,Простая задача 7,NEW,Описание простой задачи7,,,
93,SubTask,Типо подзадача 1,NEW,Что-то в подзадаче,,,98
94,SubTask,Типо подзадача 2,NEW,Что-то в подзадаче,,,98
95,SubTask,Типо подзадача 3,NEW,Что-то в подзадаче,2022-10-03T13:20,,98
96,SubTask,Типо подзадача 4,NEW,Что-то в подзадаче,,,99
97,SubTask,Типо подзадача 1,DONE,Что-то в подзадаче,,,99
98,EpicTask,Эпик 1,NEW,,2022-10-03T13:20,,
99,EpicTask,Эпик 2,IN_PROGRESS,,,,
100,Task,Простая задача 1,NEW,Описание простой задачи1,,,
101,Task,Простая задача 2,NEW,Описание простой задачи2,,,
102,Task,Простая задача 3,NEW,Описание простой задачи3,,,
103,Task,Простая задача 4,NEW,Описание простой задачи4,,,
104,Task,Простая задача 5,NEW,Описание простой задачи5,,,
105,Task,Простая задача 6,NEW,Описание простой задачи6,,,
106,Task,Простая задача 7,NEW,Описание простой задачи7,,,
107,SubTask,Типо подзадача 1,NEW,Что-то в подзадаче,,,112
108,SubTask,Типо подзадача 2,NEW,Что-то в подзадаче,,,112
109,SubTask,Типо подзадача 3,NEW,Что-то в подзадаче,2022-10-03T13:20,,112
110,SubTask,Типо подзадача 4,NEW,Что-то в подзадаче,,,113
111,SubTask,Типо подзадача 1,DONE,Что-то в подзадаче,,,113
112,EpicTask,Эпик 1,NEW,,2022-10-03T13:20,,
113,EpicTask,Эпик 2,IN_PROGRESS,,,,
114,Task,Простая задача 1,NEW,Описание простой задачи1,,,
115,Task,Простая задача 2,NEW,Описание простой задачи2,,,
116,Task,Простая задача 3,NEW,Описание простой задачи3,,,
117,Task,Простая задача 4,NEW,Описание простой задачи4,,,
118,Task,Простая задача 5,NEW,Описание простой задачи5,,,
119,Task,Простая задача 6,NEW,Описание простой задачи6,,,
120,Task,Простая задача 7,NEW,Описание простой задачи7,,,
121,SubTask,Типо подзадача 1,NEW,Что-то в подзадаче,,,126
122,SubTask,Типо подзадача 2,NEW,Что-то в подзадаче,,,126
123,SubTask,Типо подзадача 3,NEW,Что-то в подзадаче,2022-10-03T13:20,,126
124,SubTask,Типо подзадача 4,NEW,Что-то в подзадаче,,,127
125,SubTask,Типо подзадача 1,DONE,Что-то в подзадаче,,,127
126,EpicTask,Эпик 1,NEW,,2022-10-03T13:20,,
127,EpicTask,Эпик 2,IN_PROGRESS,,,,
128,Task,Простая задача 1,NEW,Описание простой задачи1,,,
129,Task,Простая задача 2,NEW,Описание простой задачи2,,,
130,Task,Простая задача 3,NEW,Описание простой задачи3,,,
131,Task,Простая задача 4,NEW,Описание простой задачи4,,,
132,Task,Простая задача 5,NEW,Описание простой задачи5,,,
133,Task,Простая задача 6,NEW,Описание простой задачи6,,,
134,Task,Простая задача 7,NEW,Описание простой задачи7,,,
135,SubTask,Типо подзадача 1,NEW,Что-то в подзадаче,,,140
136,SubTask,Типо подзадача 2,NEW,Что-то в подзадаче,,,140
137,SubTask,Типо подзадача 3,NEW,Что-то в подзадаче,2022-10-03T13:20,,140
138,SubTask,Типо подзадача 4,NEW,Что-то в подзадаче,,,141
139,SubTask,Типо подзадача 1,DONE,Что-то в подзадаче,,,141
140,EpicTask,Эпик 1,NEW,,2022-10-03T13:20,,
141,EpicTask,Эпик 2,IN_PROGRESS,,,,
142,Task,Простая задача 1,NEW,Описание простой задачи1,,,
143,Task,Простая задача 2,NEW,Описание простой задачи2,,,
144,Task,Простая задача 3,NEW,Описание простой задачи3,,,
145,Task,Простая задача 4,NEW,Описание простой задачи4,,,
146,Task,Простая задача 5,NEW,Описание простой задачи5,,,
147,Task,Простая задача 6,NEW,Описание простой задачи6,,,
148,Task,Простая задача 7,NEW,Описание простой задачи7,,,
149,SubTask,Типо подзадача 1,NEW,Что-то в подзадаче,,,154
150,SubTask,Типо подзадача 2,NEW,Что-то в подзадаче,,,154
151,SubTask,Типо подзадача 3,NEW,Что-то в подзадаче,2022-10-03T13:20,,154
152,SubTask,Типо подзадача 4,NEW,Что-то в подзадаче,,,155
153,SubTask,Типо подзадача 1,DONE,Что-то в подзадаче,,,155
154,EpicTask,Эпик 1,NEW,,2022-10-03T13:20,,
155,EpicTask,Эпик 2,IN_PROGRESS,,,,
156,Task,Простая задача 1,NEW,Описание простой задачи1,,,
157,Task,Простая задача 2,NEW,Описание простой задачи2,,,
158,Task,Простая задача 3,NEW,Описание простой задачи3,,,
159,Task,Простая задача 4,NEW,Описание простой задачи4,,,
160,Task,Простая задача 5,NEW,Описание простой задачи5,,,
161,Task,Простая задача 6,NEW,Описание простой задачи6,,,
162,Task,Простая задача 7,NEW,Описание простой задачи7,,,
163,SubTask,Типо подзадача 1,NEW,Что-то в подзадаче,,,168
164,SubTask,Типо подзадача 2,NEW,Что-то в подзадаче,,,168
165,SubTask,Типо подзадача 3,NEW,Что-то в подзадаче,2022-10-03T13:20,,168
166,SubTask,Типо подзадача 4,NEW,Что-то в подзадаче,,,169
167,SubTask,Типо подзадача 1,DONE,Что-то в подзадаче,,,169
168,EpicTask,Эпик 1,NEW,,2022-10-03T13:20,,
169,EpicTask,Эпик 2,IN_PROGRESS,,,,
170,Task,Простая задача 1,NEW,Описание простой задачи1,,,
171,Task,Простая задача 2,NEW,Описание простой задачи2,,,
172,Task,Простая задача 3,NEW,Описание простой задачи3,,,
173,Task,Простая задача 4,NEW,Описание простой задачи4,,,
174,Task,Простая задача 5,NEW,Описание простой задачи5,,,
175,Task,Простая задача 6,NEW,Описание простой задачи6,,,
176,Task,Простая задача 7,NEW,Описание простой задачи7,,,
177,SubTask,Типо подзадача 1,NEW,Что-то в подзадаче,,,182
178,SubTask,Типо подзадача 2,NEW,Что-то в подзадаче,,,182
179,SubTask,Типо подзадача 3,NEW,Что-то в подзадаче,2022-10-03T13:20,,182
180,SubTask,Типо подзадача 4,NEW,Что-то в подзадаче,,,183
181,SubTask,Типо подзадача 1,DONE,Что-то в подзадаче,,,183
182,EpicTask,Эпик 1,NEW,,2022-10-03T13:20,,
183,EpicTask,Эпик 2,IN_PROGRESS,,,,
184,Task,Простая задача 1,NEW,Описание простой задачи1,,,
185,Task,Простая задача 2,NEW,Описание простой задачи2,,,
186,Task,Простая задача 3,NEW,Описание простой задачи3,,,
187,Task,Простая задача 4,NEW,Описание простой задачи4,,,
188,Task,Простая задача 5,NEW,Описание простой задачи5,,,
189,Task,Простая задача 6,NEW,Описание простой задачи6,,,
190,Task,Простая задача 7,NEW,Описание простой задачи7,,,
191,SubTask,Типо подзадача 1,NEW,Что-то в подзадаче,,,196
192,SubTask,Типо подзадача 2,NEW,Что-то в подзадаче,,,196
193,SubTask,Типо подзадача 3,NEW,Что-то в подзадаче,2022-10-03T13:20,,196
194,SubTask,Типо подзадача 4,NEW,Что-то в подзадаче,,,197
195,SubTask,Типо подзадача 1,DONE,Что-то в подзадаче,,,197
196,EpicTask,Эпик 1,NEW,,2022-10-03T13:20,,
197,EpicTask,Эпик 2,IN_PROGRESS,,,,
198,Task,Простая задача 1,NEW,Описание простой задачи1,,,
199,Task,Простая задача 2,NEW,Описание простой задачи2,,,
200,Task,Простая задача 3,NEW,Описание простой задачи3,,,
201,Task,Простая задача 4,NEW,Описание простой задачи4,,,
202,Task,Простая задача 5,NEW,Описание простой задачи5,,,
203,Task,Простая задача 6,NEW,Описание простой задачи6,,,
204,Task,Простая задача 7,NEW,Описание простой задачи7,,,
205,SubTask,Типо подзадача 1,NEW,Что-то в подзадаче,,,210
206,SubTask,Типо подзадача 2,NEW,Что-то в подзадаче,,,210
207,SubTask,Типо подзадача 3,NEW,Что-то в подзадаче,2022-10-03T13:20,,210
208,SubTask,Типо подзадача 4,NEW,Что-то в подзадаче,,,211
209,SubTask,Типо подзадача 1,DONE,Что-то в подзадаче,,,211
210,EpicTask,Эпик 1,NEW,,2022-10-03T13:20,,
211,EpicTask,Эпик 2,IN_PROGRESS,,,,

9,10,11,12,13,14,15,1,3,4,5,6,7,8,16,17,18,19,20
